region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
Gujarat,Conservative,Fixed_25,Reference,2045,31533.21446197411,96171368.76398236,82649493.77207576,47133851.42129399,32707211.215846542,22853273.747106403
Gujarat,Conservative,Fixed_25,Reference,2060,25707.613373363693,78404197.22363013,67380419.9048262,24664259.048678987,12826186.329308521,6752821.528319073
Gujarat,Conservative,Fixed_25,Reference,2075,13.531794925512157,41269.85662655266,35467.23730845108,8333.037768560202,3247.519042646334,1288.3155661098426
Gujarat,Conservative,Fixed_25,Upside,2045,31533.21446197411,119173767.02956223,102956838.90562077,58714846.592601836,40743517.26204713,28468423.897858713
Gujarat,Conservative,Fixed_25,Upside,2060,25707.613373363693,97157019.330769,83936086.24712625,30724376.275118783,15977636.878476033,8412019.560178528
Gujarat,Conservative,Fixed_25,Upside,2075,13.531794925512157,51140.83684330585,44181.69393830407,10380.501899964132,4045.448794141804,1604.8603826341784
Gujarat,Conservative,Regular_Loss,Downside,2045,79870.08145036563,197508156.03650364,168540489.1266263,96116285.90096208,66697194.67960158,46602849.69323492
Gujarat,Conservative,Regular_Loss,Downside,2060,174650.33783136998,431887204.19250786,368544176.1133308,134903715.99613747,70154152.79524693,36935255.822240114
Gujarat,Conservative,Regular_Loss,Downside,2075,1739.9827269502107,4302747.332852884,3671681.993392122,862662.7571521769,336193.5717852309,133370.55335756758
Gujarat,Conservative,Regular_Loss,Reference,2045,79870.08145036563,243591247.75037426,209341861.01983315,119384738.16641474,82843683.03060827,57884769.01998085
Gujarat,Conservative,Regular_Loss,Reference,2060,174650.33783136998,532656195.409114,457763734.37258077,167562080.2542271,87137523.92988974,45876781.48520245
Gujarat,Conservative,Regular_Loss,Reference,2075,1739.9827269502107,5306674.987996526,4560546.522398142,1071501.7379536424,417581.48647324916,165657.7596861103
Gujarat,Conservative,Regular_Loss,Upside,2045,79870.08145036563,301853732.3835568,260778079.5446789,148718094.86317894,103198741.32141861,72107312.06066719
Gujarat,Conservative,Regular_Loss,Upside,2060,174650.33783136998,660057625.8233776,570238302.8092623,208732822.38122874,108547597.8670234,57148909.02908583
Gujarat,Conservative,Regular_Loss,Upside,2075,1739.9827269502107,6575932.70064752,5681092.916588132,1334774.4406736875,520183.09938302,206360.60185079277
Gujarat,High,Early_Loss,Downside,2045,231423.54821429495,572279850.4923905,488346040.2590851,278496923.00868976,193255110.90514022,135031749.5244838
Gujarat,High,Early_Loss,Downside,2060,298996.6868736237,739379292.1337123,630937729.5957494,230951537.97372407,120102025.0900265,63232165.805154964
Gujarat,High,Early_Loss,Downside,2075,110946.27166797312,274355467.50861675,234116937.83379954,55005842.949144885,21436663.002791848,8504087.664854165
Gujarat,High,Early_Loss,Reference,2045,231423.54821429495,705805601.3548856,606568008.7868724,345917259.722286,240039558.3169394,167721108.96736217
Gujarat,High,Early_Loss,Reference,2060,298996.6868736237,911893098.2189517,783679216.7012641,286861780.3078037,149177100.261689,78539817.55102532
