region,fiscal_year_end_year,data_type,series,record_type,capacity_gw
Rajasthan,2048,Forecast,Conservative,Annual addition,0.1566794798547448
Rajasthan,2048,Forecast,High,Annual addition,1.615853609726969
Rajasthan,2048,Forecast,Medium,Annual addition,0.5907333781663056
Rajasthan,2049,Forecast,Conservative,Annual addition,0.1104198160097951
Rajasthan,2049,Forecast,High,Annual addition,1.1737445826139492
Rajasthan,2049,Forecast,Medium,Annual addition,0.4242082048931479
Rajasthan,2050,Forecast,Conservative,Annual addition,0.0777887185212193
Rajasthan,2050,Forecast,High,Annual addition,0.8512716403995455
Rajasthan,2050,Forecast,Medium,Annual addition,0.3043612343274162
Tamil Nadu,2014,Historical,Actual,Opening stock,0.1085
Tamil Nadu,2015,Historical,Actual,Annual addition,0.04833
Tamil Nadu,2016,Historical,Actual,Annual addition,0.93374
Tamil Nadu,2017,Historical,Actual,Annual addition,0.63795
Tamil Nadu,2018,Historical,Actual,Annual addition,0.22234
Tamil Nadu,2019,Historical,Actual,Annual addition,0.66785
Tamil Nadu,2020,Historical,Actual,Annual addition,1.34285
Tamil Nadu,2021,Historical,Actual,Annual addition,0.56591
Tamil Nadu,2022,Historical,Actual,Annual addition,0.53971
Tamil Nadu,2023,Historical,Actual,Annual addition,1.66925
Tamil Nadu,2024,Historical,Actual,Annual addition,1.47495
Tamil Nadu,2025,Historical,Actual,Annual addition,1.9422
Tamil Nadu,2026,Historical,Actual,Annual addition,3.42609
Tamil Nadu,2027,Forecast,Conservative,Annual addition,0.4573246917241356
Tamil Nadu,2027,Forecast,High,Annual addition,2.541932499054649
Tamil Nadu,2027,Forecast,Medium,Annual addition,2.0790212440464675
